tot_mat_B_tons tot_obs_aerial_tons res_aerial init_age_3 est_seine_comp4 est_seine_comp5 est_seine_comp6 est_seine_comp7 est_seine_comp8 est_seine_comp9 est_seine_comp10 est_seine_comp11 est_seine_comp12 obs_seine_comp4 obs_seine_comp5 obs_seine_comp6 obs_seine_comp7 obs_seine_comp8 obs_seine_comp9 obs_seine_comp10 obs_seine_comp11 obs_seine_comp12 est_mat_comp4 est_mat_comp5 est_mat_comp6 est_mat_comp7 est_mat_comp8 est_mat_comp9 est_mat_comp10 est_mat_comp11 est_mat_comp12 obs_mat_comp4 obs_mat_comp5 obs_mat_comp6 obs_mat_comp7 obs_mat_comp8 obs_mat_comp9 obs_mat_comp10 obs_mat_comp11 obs_mat_comp12 tot_post_N N tot_sp_N tot_mat_N tot_obs_aerial_tuned_tons threshold
 130054 115156 -0.121665 695.419 0.134522 0.188552 0.0539838 0.0592978 0.233792 0.0965471 0.077185 0.0477205 0.1084 0.029 0.164 0.05 0.04 0.292 0.094 0.116 0.066 0.15 0.149423 0.187531 0.0496673 0.053438 0.248155 0.091259 0.0729574 0.0451068 0.102463 0.105 0.336 0.062 0.036 0.225 0.059 0.059 0.039 0.08 1266.29 1326.86 315.728 376.294 115156 35000
 134835 0 0 290.926 0.0508074 0.25038 0.278189 0.0557731 0.0438317 0.141753 0.0526661 0.0405684 0.0860312 0.02 0.346 0.312 0.04 0.043 0.104 0.044 0.035 0.056 0.0586873 0.258962 0.266159 0.0522673 0.048381 0.139335 0.0517679 0.0398766 0.0845641 -9 -9 -9 -9 -9 -9 -9 -9 -9 1182.5 1229.29 354.022 400.808 0 35000
 160242 0 0 104.435 0.0160393 0.0923635 0.362582 0.284542 0.0413719 0.0268866 0.077 0.0282852 0.0709297 0.001 0.027 0.365 0.245 0.044 0.07 0.092 0.05 0.106 0.0190426 0.0981882 0.356558 0.274079 0.0469371 0.0271637 0.0777938 0.0285768 0.0716608 -9 -9 -9 -9 -9 -9 -9 -9 -9 924.123 980.701 386.845 443.423 0 35000
 167965 0 0 104.662 0.0158598 0.0327031 0.149927 0.414729 0.234933 0.0286141 0.0149222 0.0467317 0.0615806 0.001 0.003 0.038 0.437 0.246 0.036 0.054 0.071 0.109 0.018452 0.0340685 0.14448 0.39147 0.261191 0.0283295 0.0147738 0.0462669 0.0609681 -9 -9 -9 -9 -9 -9 -9 -9 -9 740.828 789.463 409.975 458.61 0 35000
 164626 163738 -0.00540503 232.52 0.0381331 0.0354947 0.0583506 0.189592 0.387123 0.190713 0.0185705 0.00763279 0.0743911 0.0013624 0.0040872 0.0100817 0.143324 0.461853 0.19673 0.0553134 0.046049 0.0812026 0.0428517 0.0357147 0.0543119 0.172851 0.415703 0.182372 0.0177583 0.00729897 0.0711377 0.00162009 0.00526529 0.00972054 0.132442 0.442689 0.202511 0.0575132 0.054273 0.0939641 728.69 781.494 385.918 438.722 163738 35000
 160028 179582 0.115282 224.215 0.0421492 0.0903231 0.0669375 0.077778 0.185248 0.328188 0.138 0.0121018 0.059275 0.0466472 0.124569 0.0519481 0.0506228 0.232706 0.245163 0.143652 0.0198781 0.0842359 0.0481133 0.0923194 0.0632891 0.0720312 0.202068 0.318795 0.13405 0.0117554 0.0575785 0.0591011 0.13236 0.0530337 0.047191 0.227865 0.242921 0.134831 0.0211236 0.0804494 703.935 764.195 316.529 376.789 179582 35000
 136348 143828 0.0534112 219.124 0.0469822 0.0988665 0.167208 0.0872693 0.0732341 0.145168 0.233094 0.0977128 0.0504651 0.0157403 0.115593 0.197737 0.0624693 0.0924742 0.202164 0.198721 0.0609936 0.0541072 0.054455 0.102606 0.160526 0.0820641 0.0811123 0.143182 0.229904 0.0963759 0.0497746 0.0157403 0.115593 0.197737 0.0624693 0.0924742 0.202164 0.198721 0.0609936 0.0541072 692.466 740.76 277.055 325.35 143828 35000
 121559 136840 0.118412 374.94 0.081959 0.0987706 0.164842 0.195266 0.0743249 0.0534143 0.0892852 0.146413 0.0957245 0.0736448 0.105684 0.185115 0.180277 0.0836378 0.0624378 0.103122 0.127434 0.0772054 0.0948747 0.102376 0.158054 0.183387 0.0822162 0.0526168 0.0879521 0.144227 0.0942953 0.111807 0.125688 0.17187 0.164749 0.0744367 0.0534145 0.0862523 0.127296 0.0824 836.296 888.077 267.748 319.528 136840 35000
 128019 142155 0.104739 639.568 0.127022 0.153493 0.146543 0.169868 0.145425 0.0469605 0.0277307 0.0472552 0.135701 0.153019 0.192755 0.152521 0.142877 0.107785 0.0510189 0.0394189 0.0564303 0.100411 0.144037 0.155848 0.13764 0.156277 0.157581 0.0453147 0.0267589 0.0455991 0.130945 0.175678 0.2073 0.158794 0.135364 0.100194 0.0428194 0.0374693 0.0468895 0.0913122 1214.55 1259.29 314.279 359.013 142155 35000
 149847 146914 -0.0197647 464.597 0.0779271 0.221527 0.212845 0.143094 0.121019 0.089734 0.0241429 0.0134141 0.0962977 0.0274054 0.292603 0.238368 0.12809 0.100115 0.067604 0.0455541 0.032697 0.0675634 0.0891019 0.2268 0.201579 0.132741 0.132227 0.0873108 0.0234909 0.0130518 0.0936973 0.0250351 0.247588 0.218502 0.130778 0.11098 0.085459 0.0554201 0.0455917 0.0806461 1295 1364.62 351.971 421.587 146914 35000
 164450 0 0 384.61 0.0558032 0.138945 0.312724 0.20944 0.098459 0.0707235 0.0458648 0.0111316 0.0569101 0.0013252 0.0569378 0.323925 0.231582 0.1412 0.105042 0.0526534 0.0396239 0.0477099 0.0648602 0.144604 0.301067 0.197499 0.109356 0.0699512 0.0453639 0.01101 0.0562887 -9 -9 -9 -9 -9 -9 -9 -9 -9 1287.22 1344.24 422.43 479.446 0 35000
 179449 167740 -0.0674778 235.107 0.0308968 0.10437 0.20661 0.327679 0.160455 0.0646897 0.0403204 0.0261194 0.0388594 0.0102181 0.102745 0.205566 0.378606 0.153107 0.070428 0.0383109 0.0198697 0.0206536 0.0359551 0.108753 0.199151 0.309373 0.178431 0.0640611 0.0399286 0.0258656 0.0384818 0.00638243 0.0881539 0.193349 0.378461 0.162408 0.0787765 0.0446387 0.0231294 0.0242423 1141.81 1188.98 481.522 528.691 167740 35000
 214386 169022 -0.237754 260.921 0.0333068 0.0621055 0.167415 0.235262 0.276252 0.118215 0.0406933 0.0253034 0.0414472 0.0026833 0.0299087 0.121623 0.283621 0.301454 0.130473 0.0655211 0.0289316 0.0357836 0.0380881 0.0635924 0.158575 0.218271 0.301878 0.115039 0.0395998 0.0246235 0.0403335 0.0019907 0.0254258 0.11724 0.272208 0.293185 0.139847 0.0722856 0.038355 0.0394629 1039.37 1107.03 486.216 553.882 169022 35000
 205189 203269 -0.0094044 208.631 0.0285 0.073658 0.109304 0.20789 0.212581 0.218262 0.0801181 0.025595 0.0440924 0.0107086 0.0676436 0.112572 0.255415 0.266111 0.174022 0.0641618 0.0286003 0.0207649 0.0327584 0.0758083 0.104063 0.193865 0.233492 0.213486 0.0783649 0.0250349 0.0431275 0.0111565 0.0618929 0.11094 0.254086 0.270097 0.174194 0.0664981 0.0300497 0.0210855 916.074 978.831 452.18 514.938 203269 35000
 190141 228809 0.185121 158.446 0.0241498 0.065668 0.134782 0.140003 0.194793 0.172367 0.158791 0.0582066 0.0512392 0.0117645 0.0524856 0.159525 0.117345 0.226192 0.202112 0.161953 0.0466883 0.021935 0.0277822 0.0676433 0.128431 0.130671 0.214139 0.168741 0.15545 0.0569821 0.0501612 0.00893796 0.0411847 0.133894 0.119874 0.239222 0.211181 0.174904 0.0497722 0.0210305 782.818 837.283 406.655 461.119 228809 35000
 169388 0 0 130.628 0.0225796 0.0565119 0.121968 0.175835 0.133872 0.163853 0.127129 0.117202 0.0810493 -9 -9 -9 -9 -9 -9 -9 -9 -9 0.0262215 0.0587623 0.117319 0.165666 0.14856 0.161923 0.125632 0.115822 0.0800946 -9 -9 -9 -9 -9 -9 -9 -9 -9 675.4 710.719 367.471 402.789 0 35000
 155271 90269.4 -0.135593 181.288 0.0348856 0.0519646 0.103625 0.158424 0.169174 0.114183 0.123153 0.0955442 0.149046 0.0281892 0.0275466 0.0889064 0.177064 0.215518 0.185987 0.155603 0.0789309 0.0422559 0.040212 0.0536334 0.0989369 0.148155 0.186342 0.112002 0.120801 0.0937188 0.146199 0.0643 0.0248075 0.0660108 0.139293 0.20231 0.178643 0.16795 0.0986598 0.0580268 641.957 681.778 324.689 364.511 90269.4 35000
